ItemName,ItemCode,Quantity
Decline Bench,Q09008,1
Double Twister,Q09009,1
Dumbell Stand,Q09010,1
Flate Bench,Q09011,2
Hack Squat,Q09012,1
Incline Bench,Q09014,1
Lat Pulley,Q09015,1
Leg Curl/Leg Extension,Q09016,2
Plain Bench,Q09017,1
Preacher Bench,Q09018,1
Roman Chair,Q09019,1
Seated Rowing Machine,Q09020,1
Vibrator Belt,Q09021,1
Tread Mill(Electric),Q09022,4
Sit up board,Q09023,1
Exercise Elliptical Trainer,Q09024,2
Tread Mill (Manual),Q09025,2
Exercise upright bike,Q09026,4
Stepper,Q09027,2
Multi gym,Q09028,1
Squat Stand,Q09029,1
Exercise T-BAR,Q09030,1
Weight stand,Q09031,1
Foldable Bench,Q09032,1
Blower machine complier motor,Q10001,0
Bulk Cooker,Q10002,2
Chapati Bhatti,Q10003,1
Chapati collection trolley,Q10004,2
Chapati plate cum puffer,Q10005,4
Chopping Table,Q10006,2
Clean dish landing table,Q10007,2
Clean dish rach,Q10008,2
Counter,Q10009,0
Dirty dish landing table,Q10010,3
Dough kneader mixer,Q10011,4
Ducting kitchen-sq.ft.,Q10012,0
Exhaust Hood (Small),Q10013,6
Fly net mosquito killer,Q10014,0
Food pick up table,Q10015,2
Food Trollys,Q10016,4
Hood frame sport angle,Q10017,0
Industrial Deep Fat Prayer,Q10018,2
Loading table with pre wash sink,Q10020,2
Milk boiler,Q10021,2
Open wall shelf,Q10022,4
Pest-O-Flash,Q10023,27
Pot wash sink with garbage bin,Q10024,2
Potato peeler,Q10025,5
S.S. atta & Maida bins,Q10026,9
S.S. Drain Grating,Q10027,0
S.S. Rise bin,Q10028,8
S.S. sepreader Table,Q10029,12
S.S. three burner range,Q10030,2
S.S. tomato & Onion bin,Q10031,7
S.S. WORKING TOP TABLE WITH DRAWER,Q10032,7
S.S.Chapati rooting Table,Q10033,2
S.S.potwash racks,Q10034,4
S.S.work table with under shelf,Q10035,3
Salamandor with S.S. framework,Q10036,2
Service country with basin mane,Q10037,8
Sink dish washing unit,Q10038,2
Sink table unit with veg wash,Q10039,3
Stock pot range,Q10041,10
Tea Urn,Q10042,4
Tilting Brassing Pan,Q10043,2
Two burner GAS range & display,Q10044,2
Water boiler,Q10045,2
Weighing scale electronic,Q10046,8
Wet masala grinder,Q10047,2
Wooden shutter kitchen cabinet,Q10048,0
Four Door Refrigerator,Q10049,4
Four Burner Range,Q10050,1
Electric Hot Plate,Q10051,1
Toaster,Q10052,2
Trolley for Plate,Q10053,5
Rack for Plate (S.S.),Q10054,5
Gravy Machine,Q10055,1
Paper Cutter,Q11001,1
Paper Shacier & CD Destroyer,Q11002,3
Spiral Binding Machine,Q11004,3
Currency Counting Machine,Q11005,1
Chain Block Heavy Duty Capacity,Q12004,1
Drill Machine,Q12005,3
Portable Glinder,Q12006,1
Rotary Hammer Tools,Q12007,1
Brush Cutter & Wire,Q12008,1
Fogging Sprayer,Q12009,1
Ceiling Fan Winding Machine,Q12010,1
Mitre Saw (Alumunium cutter),Q12011,1
Samsung R220,Q13001,0
LG Reliance,Q13002,2
Nokia 1650,Q13003,0
Nokia 2100 ,Q13004,0
Nokia 2300 ,Q13005,0
Nokia 2600,Q13006,0
Nokia 3110,Q13007,1
Nokia 33151 ,Q13008,0
Nokia 6300 ,Q13009,1
Nokia 6681 ,Q13010,0
Samsung CI4I0,Q13011,0
Nokia 1100,Q13012,1
Nokia N-72,Q13013,2
Nokia Mobile,Q13014,1
Samsung S6802,Q13015,1
Nokia -206 Black,Q13016,3
206 Nokia Mobile,Q13017,2
Nokia - 225 ,Q13018,3
Nokia Lumia,Q13019,1
HTC Mobile,Q13020,1
I Ball Audi 4A Projector Phone,Q13021,1
Lyf Wind 4S,Q13022,4
SAMSUNG Galaxy J7 Prime ,Q13023,1
SAMSUNG On7 Pro (Gold),Q13024,1
Apple Iphone 7,Q13025,1
Motorola Moto G6 3/32,Q13026,1
Congo,Q14004,1
Dholak,Q14005,2
Drum,Q14006,4
Electronic Guitar,Q14009,1
Guitar,Q14010,1
Harmonium,Q14011,1
Sinthesigher,Q14015,1
Tabla,Q14017,1
Planet 2 Zildzan,Q14018,1
PSR I-455 Digital Keyboard ,Q14019,1
380 KVA DO set,Q15001,1
125 KVA DO set,Q15002,1
I I KV. 350MVA on load oil immersed switch fuse unit,Q15003,1
"11 KV, 350MVA HT 2 panel board",Q15004,1
1000 KVA 11/0.433KV cool type transformer,Q15005,2
Main LT panel,Q15006,2
Capacitor panel,Q15007,2
Battery charger,Q15008,1
625 KVA DG Set,Q15009,1
11 KV 350 MVA HT  Single Panel Board,Q15010,1
11 Kv/630Amp/3 way RMU,Q15011,1
T.T. Table,Q16005,10
Collar Cordless Mike Studio master,Q18004,43
Cordless Mike,Q18009,19
Amplifier,Q18018,33
Speaker,Q18019,73
Loud Hailer,Q18020,1
Table Mike Ahuja,Q18021,7
Voice Recorder,Q18024,1
Cord Mike,Q18026,1
Equipment rack,Q18027,1
Video Conferencing Device-TANDBERG,Q18028,1
Soundcraft Mixer,Q18029,2
"Home Theater System (DVD, Woofer and Speaker)",Q18030,3
Speaker Phone,Q18031,2
Copier Machine Canon 1121600,Q19001,0
Photo copy machine Xerox,Q19002,0
Photo Copy Machine RICOH,Q19003,3
Solar Water Heater System-1000 Ws,Q20001,7
